cycle,serial,delay_s,elapsed_s,status,reason,mac,retest_status
0,SN-STRESS-D20-0000,2.0,3.156,success,,,retest_ok
1,SN-STRESS-D20-0001,2.0,3.078,success,,,retest_ok
2,SN-STRESS-D20-0002,2.0,3.125,success,,,retest_ok
3,SN-STRESS-D20-0003,2.0,3.14,success,,,retest_ok
4,SN-STRESS-D20-0004,2.0,3.172,success,,,retest_ok
5,SN-STRESS-D20-0005,2.0,3.203,success,,,retest_ok
6,SN-STRESS-D20-0006,2.0,3.094,success,,,retest_ok
7,SN-STRESS-D20-0007,2.0,3.093,success,,,retest_ok
8,SN-STRESS-D20-0008,2.0,3.062,success,,,retest_ok
9,SN-STRESS-D20-0009,2.0,3.203,success,,,retest_ok
10,SN-STRESS-D20-0010,2.0,3.141,success,,,retest_ok
11,SN-STRESS-D20-0011,2.0,3.156,success,,,retest_ok
12,SN-STRESS-D20-0012,2.0,3.187,success,,,retest_ok
13,SN-STRESS-D20-0013,2.0,3.125,success,,,retest_ok
14,SN-STRESS-D20-0014,2.0,3.11,success,,,retest_ok
15,SN-STRESS-D20-0015,2.0,3.14,success,,,retest_ok
16,SN-STRESS-D20-0016,2.0,3.156,success,,,retest_ok
17,SN-STRESS-D20-0017,2.0,3.156,success,,,retest_ok
18,SN-STRESS-D20-0018,2.0,3.094,success,,,retest_ok
19,SN-STRESS-D20-0019,2.0,3.11,success,,,retest_ok
